
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

// --------------------------------------------------
<Trader> Medical  Trader 0//0
		Rice,					*,      150,	   -15
		Marmalade,				*,      160,	   -15
		
		PeachesCan,				*,      180,	   -25
		SardinesCan,			*,      180,	   -25
		TunaCan,				*,      99,	       -25
		SpaghettiCan,			*,      150,	   -25
		BakedBeansCan,			*,      150,	   -25
		TacticalBaconCan,		*,      150,	   -35
		
	<Category> Medical Supplies
		BandageDressing,		2,		150,	    -1
		DisinfectantSpray,		*,		200,		-5
		IodineTincture,			*,		30,		-5	
		Heatpack,				*,		200,		-5		

	<Category> Vegetables
    
		CaninaBerry,			*,		50,		-10	
		SambucusBerry,			*,		50,		-10	
		Plum,					*,		60,		-10	
		Kiwi,					*,	    70,		-10	
		Apple,					*,		60,		-10
		Pear,					*,		50,		-10
		Orange,					*,		60,		-10
		Banana,					*,		80,		-10
		Tomato,					*,		50,		-10
		Potato,					*,	    50,		-10
		GreenBellPepper,		*,		50,		-10
		Zucchini,				*,		50,		-10
		Pumpkin,				*,		50,		-10

		
 	<Category> Pilz	
    
		AgaricusMushroom,		*,		-133,	120
		AmanitaMushroom,		*,		-133,	100
		LactariusMushroom,		*,		-133,	110
		MacrolepiotaMushroom,	*,		-133,	115
		PsilocybeMushroom,		*,		-133,	118
		AuriculariaMushroom,	*,		-133,	116
		BoletusMushroom,		*,		-133,	117
		PleurotusMushroom,		*,		-133,	116
       
			
	<Category> Meat
    
		ChickenBreastMeat,		S,		-350,	88	
		GoatSteakMeat,			S,		-450,	120	
		SheepSteakMeat,			S,		-450,	130	
		PigSteakMeat,			S,		-320,	153	
		BoarSteakMeat,			S,		-320,	156	
		WolfSteakMeat,			S,		-320,	180	
		DeerSteakMeat,			S,		-320,	170	
		CowSteakMeat,			S,		-320,	180		
		Sardines,				S,		-320,	170	
		Carp,					S,		-320,	150	
		Mackerel,				S,		-400,	150
		
	<Category> Animal Parts
    
		Bone,					*,		-1020,	320
		Lard,					*,		-1025,	200
		Guts,					*,		-1025,	320
		SmallGuts,				*,		-1025,	320
	



// --------------------------------------------------
<Trader> Weapon Trader 2//2

	<Category> Weapon	

		CombatKnife,			*,		-750,	370
		SteakKnife,				*,		-450,	220
		Cleaver,			    *,		-650,	500
		CrudeMachete,			*,		-344,	400
		FangeKnife,			    *,		-310,	400
		HuntingKnife,			*,		-299,	400
		KitchenKnife,			*,		-288,	400
		KukriKnife,			    *,		-279,	400
		Machete,			    *,		-288,	400
		OrientalMachete,	    *,		-755,	400
		
		Msp_BeanBasher, 	     *,    -4500,  200
		Msp_BlunderBat, 	     *,    -3500,  700
		Msp_BassAxe, 	         *,    -35000, 900
		Msp_PipeAxe, 	         *,    -6500,  600
		
	    M9A1_Bayonet,           *,		450,	150  
		AK_Bayonet,				*,		450,	150
		SKS_Bayonet,			*,		450,	150
		Mosin_Bayonet,          *,		350,	100
		
		Msp_GoodNightBat, 	     *,    3500,   1300
		Msp_PlainBat, 	         *,    2100,   900
		Msp_PlainBat_Blue, 	     *,    2100,   900
		Msp_PlainBat_Black, 	 *,    2100,   900
		Msp_BaseballBat, 	     *,    2100,   900
		Msp_Sawblade, 	         *,    9550,   4000
		
	 <Category> Weapon
        MKII,               	M,		1900,	900 
        CZ75,               	M,		2300,	1200   
        Colt1911,               M,		2100,	900       
      //Deagle,               	M,		3000,	1300      
      //Deagle_Gold,            M,		8500,	2500
        Engraved1911,           M,		1950,	950
        FNX45,               	M,		2300,	1300
        Flaregun,               M,		1750,	750
        Glock19,               	M,		1650,	850
		Magnum,               	M,		2500,	1200
        MakarovIJ70,            M,		1800,	1200	
		P1,               	    M,		2500,	1800
		
	<Category> Weapon1	
	    Mosin9130,              M,		2300,	1100
        Mosin9130_Black,        M,		2500,	1100
        Mosin9130_Camo,         M,		2600,	1100
        Mosin9130_Green,        M,		2700,	1100

        Repeater,               W,		2000,	800
        Ruger1022,              W,		2800,	1100
        SKS,                    W,		2600,	1100
		CZ527,               	M,		2400,	1100          
        CZ550,               	M,		2450,	1100  
	    Izh18,                  M,		2350,	1100
        Izh43Shotgun,           M,		2000,	900
		B95,               	    M,		2250,	1100 
		Mp133Shotgun,           M,		2550,	1200
		
		<Category> Weapon1	
        SVD,                    W,		25000,	5000
		CZ61,               	M,		2600,	1100      
        Saiga,                  W,		3600,	1100
		SawedoffFAMAS,          W,		3700,	1100
        UMP45,               	M,		4100,	2000
        VSS,                    M,		3300,	1300
        Aug,                    M,		3200,	1300              
        AugShort,               M,		3500,	1300 
		FAL,               	    M,		5100,	2200
		FAMAS,               	M,		4800,	2100
		M16A2,               	M,		4100,	1800  
		ASVAL,               	M,		3800,	1300 
	    MP5K,               	M,		2300,	1100    
        PP19,               	M,		2800,	1100

        Scout,                  M,		2600,	1100
        Scout_Chernarus,        M,		4500,	2000
        Scout_Livonia,          M,		4300,	2000
        AKS74U,                 M,		2200,	900
        AKS74U_Black,           M,		2300,	900
        AKS74U_Green,           M,		2400,	900		
		
	<Category> Sawedoff	

        SawedoffIzh18,                  W,		2200,	1000
        SawedoffIzh43Shotgun,           W,		2300,	1000
        SawedoffMosin9130,              W,		2400,	1000
        SawedoffMosin9130_Black,        W,		2500,	1000
        SawedoffMosin9130_Camo,         W,		2600,	1000
        SawedoffMosin9130_Green,        W,		2700,	1000
		Longhorn,               	    W,		2800,	1000
		
	<Category> MP5 AK

        M4A1,               	     	M,		1800,	700    
        M4A1_Black,                  	M,		1800,	700     
        M4A1_Green,               	 	M,		1800,	700
	
        MP5_Compensator,             	M,		1300,	600
        MP5_PlasticHndgrd,           	M,		1300,	600               
        MP5_RailHndgrd,              	M,		1300,	600     
        MP5k_StockBttstck,           	M,		1300,	600
	
        AK101,               	    	M,		2200,	900
        AK101_Black,               		M,		2300,	900
        AK101_Green,               		M,		2400,	900
        AK74,               	    	M,		2500,	900
        AK74_Black,               		M,		2600,	900
        AK74_Green,               		M,		2700,	900
        AKM,                     		M,		2800,	900
	
        AK74_Hndgrd,               		M,		1500,	500
        AK74_WoodBttstck,           	M,		1500,	500
		
	<Category> Grenades0
	
	    FireworksLauncher,				    *,		900,	-50
	    M79,                            	M,		-100,	3000
	    AntiChemInjector,				    1,		-5000,	900
		
		Grenade_ChemGas,				    1,		-1550,	3000
	    RemoteDetonator,				    1,		-8500,	2000
	    RemoteDetonatorReceiver,			1,		-8000,	2000
		RemoteDetonatorTrigger,				1,		-8500,	2000	
		
		ClaymoreMine,				        1,		-18000,	5000
		ClaymoreMinePlacing,				1,		-12000,	3000
		
	    Ammo_40mm_ChemGas,				    1,		-2000,	600
	    Ammo_40mm_Explosive,				1,		-2300,	600
	    Ammo_40mm_Smoke_Red,				1,		-2300,	600
	    Ammo_40mm_Smoke_Green,				1,		-2300,	600
	    Ammo_40mm_Smoke_White,				1,		-2300,	600
	    Ammo_40mm_Smoke_Black,				1,		-2300,	600
		
	<Category> Grenades
	
		RGD5Grenade,	        1,		750,	250
		M67Grenade,		        1,		750,	250
		M18SmokeGrenade_Red,	1,		750,	250
		M18SmokeGrenade_Green,	1,		750,	250
		M18SmokeGrenade_Yellow,	1,		750,	250
		M18SmokeGrenade_Purple,	1,		750,	250
		M18SmokeGrenade_White,	1,		750,	250
		RDG2SmokeGrenade_Black,	1,		750,	250
		RDG2SmokeGrenade_White,	1,		750,	250
		FlashGrenade,		    1,		750,	250
				
	<Category> Handguards

		MP5_PlasticHndgrd,				*,		651,	280
		MP5_RailHndgrd,					*,		651,	280
		AK74_Hndgrd,					*,		651,	280
		AK_WoodHndgrd,					*,		651,	280
		AK_RailHndgrd,					*,		651,	280
		AK_PlasticHndgrd,				*,		651,	280
		M4_PlasticHndgrd,				*,		651,	280
		M4_RISHndgrd,					*,		651,	280
		M4_MPHndgrd,					*,		651,	280
		AK_RailHndgrd_Black,    		*,		651,	280
        AK_RailHndgrd_Green,    		*,		651,	280
		
	<Category> Buttstocks

		MP5k_StockBttstck,		   		*,		455,	200
		Saiga_Bttstck,			   		*,		477,	200
		AKS74U_Bttstck,			   		*,		488,	200
		AK74_WoodBttstck,		   		*,		499,	200
		AK_PlasticBttstck,		   		*,		460,	200
		AK_WoodBttstck,			   		*,		480,	200
		AK_FoldingBttstck,		   		*,		490,	200
		Fal_FoldingBttstck,        		*,		555,	230
        AK_FoldingBttstck_Black,   		*,		560,	230
        AK_FoldingBttstck_Green,   		*,		580,	230
        AK_PlasticBttstck_Black,   		*,		582,	235
        AK_PlasticBttstck_Green,   		*,		583,	235
        AK_WoodBttstck_Black,      		*,		584,	260
        AK_WoodBttstck_Camo,       		*,		585,	260
        AK_WoodHndgrd_Black,       		*,		586,	260
        AK_WoodHndgrd_Camo,        		*,		587,	260		
		Fal_OeBttstck,               	M,		588,	260
		HuntingOptic,                	M,		589,	260
        ImprovisedSuppressor,        	M,		350,	50

	<Category> Optics

		M4_CarryHandleOptic,		*,		1100,	300
		FNP45_MRDSOptic,        	*,		1100,	300
		BUISOptic,					*,		1100,	300
		M4_T3NRDSOptic,				*,		1600,	400
		KobraOptic,					*,		1600,	400
		KashtanOptic,				*,		1600,	400
		PUScopeOptic,				*,		1600,	400
		HuntingOptic,				*,		1600,	400
		PSO1Optic,					*,		1600,	400	
		PSO11Optic,					*,		1600,	400
		KazuarOptic,				*,		1600,	400
		ReflexOptic,            	*,		1600,	400
		StarlightOptic,         	*,		1600,	400
		ACOGOptic,              	*,		1600,	400
		M68Optic,               	*,		1600,	400 
	   
	<Category> Compensators		

		PistolSuppressor,			*,		550,	150
		AK_Suppressor,				*,		550,	150
        PistolOptic,            	*,		550,	150				
		MP5_Compensator,			*,		550,	150
		
	<Category> Bayonets	

		AKS74U_Bttstck,         	M,		850,	300
        TLRLight,               	*,		830,	300
        ACOGOptic_6x,           	*,		820,	300 
			
		Universallight,				 *,		800,	300	
		PSO1Optic,               	 *,		769,	320
		PP19_Bttstck,                *,		769,	320
		Mosin_Compensator,           *,		640,	320
		


		
	<Category> M4	

        M4_CQBBttstck,               *,		655,	320  
        M4_CarryHandleOptic,         *,		677,	320      
        M4_MPBttstck,                *,		688,	320     
        M4_MPHndgrd,               	 *,		699,	320  
        M4_OEBttstck,                *,		700,	320
        M4_PlasticHndgrd,            *,		710,	320 
        M4_RISHndgrd,                *,		730,	320        
        M4_RISHndgrd_Black,          *,		755,	320   
        M4_RISHndgrd_Green,          *,		769,	320       
        M4_Suppressor,               *,		769,	320 
        M4_T3NRDSOptic,              *,		769,	320 

		
// --------------------------------------------------
<Trader>  Supplies Trader 3//3

	<Category> Ammunition
		Ammo_22,						*,		300,	50
		AmmoBox_22_50Rnd,				*,		150,    10	
		------------------------------------------------------------, *, -1, -1
		Ammo_9x19,					    *,		300,	50
		AmmoBox_9x19_25rnd,				*,		75,     5
		------------------------------------------------------------, *, -1, -1
		Ammo_45ACP,					    *,		500,	100
		AmmoBox_45ACP_25rnd,			*,		125,	20	
		------------------------------------------------------------, *, -1, -1
		Ammo_380,					    *,		500,	100	
		AmmoBox_380_35rnd,				*,		210,	50	
		------------------------------------------------------------, *, -1, -1
		Ammo_12gaSlug,			        *,		500,	100
		AmmoBox_12gaSlug_10Rnd,			*,		50,	    10	
		------------------------------------------------------------, *, -1, -1
		Ammo_9x39,						*,		500,	100
		AmmoBox_9x39_20Rnd,				*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_545x39,					*,		500,	100
		AmmoBox_545x39_20Rnd,			*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_9x39AP,					*,		500,	100
		AmmoBox_9x39AP_20Rnd,			*,		100,	10
		------------------------------------------------------------, *, -1, -1
		Ammo_308Win,					*,		500,	100
		AmmoBox_308Win_20Rnd,			*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_556x45,					*,		500,	100
		AmmoBox_556x45_20Rnd,			*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_762x39,					*,		500,	100
		AmmoBox_762x39_20Rnd,			*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_762x54,					*,		500,	100
		AmmoBox_762x54_20Rnd,			*,	    100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_308WinTracer,		        *,		500,	100
     	AmmoBox_308WinTracer_20Rnd,		*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_545x39Tracer,		        *,		500,	100
		AmmoBox_545x39Tracer_20Rnd,		*,		100,    10	
		------------------------------------------------------------, *, -1, -1
		Ammo_556x45Tracer,		        *,		500,	100		
		AmmoBox_556x45Tracer_20Rnd,		*,		100,	10	
		------------------------------------------------------------, *, -1, -1
		Ammo_762x39Tracer,		        *,		500,	100
		AmmoBox_762x39Tracer_20Rnd,		*,		100,	10	
        ------------------------------------------------------------, *, -1, -1		
		Ammo_762x54Tracer,		        *,		500,    100		
		AmmoBox_762x54Tracer_20Rnd,		*,		100,	10	
        ------------------------------------------------------------, *, -1, -1		
		Ammo_12gaPellets,				*,		350,  	50	
		------------------------------------------------------------, *, -1, -1
		Ammo_Flare,						*,		250,	20	
		AmmoBox_00buck_10rnd,			*,		250,	20
		AmmoBox_12gaRubberSlug_10Rnd,	*,		250,	20
        AmmoBox_357_20Rnd,	            *,		250,	20
        AmmoBox_9x39_20Rnd,	            *,		250,	20
        Ammo_12gaRubberSlug,	        *,		250,	20
        Ammo_357,	                    *,		250,	20
        //Ammo_FlareBlue,	            *,		250,	20
        //Ammo_FlareGreen,	            *,		250,	20
        //Ammo_FlareRed,               	*,		250,	20
		// When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.
		
	<Category> Magazine Empty	

		Mag_308WinSnaploader_2Rnd,	M,	650,	250
		------------------------------------------------------------, *, -1, -1
        Mag_Saiga_5Rnd,			M,		750,	250
		Mag_CZ527_5rnd,			M,		750,	250
		Mag_Scout_5Rnd,         M,		750,	250
		------------------------------------------------------------, *, -1, -1
		Mag_1911_7Rnd,			M,		760,	250
		------------------------------------------------------------, *, -1, -1
		Mag_IJ70_8Rnd,			M,		780,	250
		Mag_Saiga_8Rnd,			M,		780,	250
		Mag_P1_8Rnd,            M,		780,	250
		------------------------------------------------------------, *, -1, -1
		Mag_Deagle_9rnd,        M,		790,	250	
		------------------------------------------------------------, *, -1, -1
		Mag_CZ550_10Rnd,      	M,		810,	260
		Mag_MKII_10Rnd,			M,		810,	260
		Mag_CMAG_10Rnd,			M,		810,	260
		Mag_VSS_10Rnd,			M,		810,	260
		Mag_SVD_10Rnd,			M,		810,	260
		------------------------------------------------------------, *, -1, -1
		Mag_CZ75_15Rnd,			M,		855,	260
		Mag_Glock_15Rnd,		M,		855,	260
		Mag_FNX45_15Rnd,		M,		855,	260
		Mag_Ruger1022_15Rnd,    M,		855,	260	
		Mag_MP5_15Rnd,          M,		855,	260	
		------------------------------------------------------------, *, -1, -1
		Mag_FAL_20Rnd,			M,		900,	300
		Mag_CZ61_20Rnd,			M,		900,	300
		Mag_Saiga_Drum20Rnd,	M,		900,	300
		Mag_CMAG_20Rnd,			M,		900,	300
		Mag_VAL_20Rnd,          M,		900,	300
		------------------------------------------------------------, *, -1, -1
	    Mag_FAMAS_25Rnd,        M,		945,	300
		Mag_UMP_25Rnd,			M,		945,	300
		------------------------------------------------------------, *, -1, -1
		Mag_MP5_30Rnd,			M,		989,	350
		Mag_AKM_30Rnd,			M,		989,	350
		Mag_AKM_Palm30Rnd,		M,		989,	350
		Mag_AK101_30Rnd,		M,		989,	350
		Mag_AK74_30Rnd,			M,		989,	350
		Mag_STANAG_30Rnd,		M,		989,	350
		Mag_STANAGCoupled_30Rnd,M,		989,	350
		Mag_CMAG_30Rnd,			M,		989,	350
		Mag_Aug_30Rnd,          M,		989,	350
		Mag_Ruger1022_30Rnd,    M,		989,	350
		------------------------------------------------------------, *, -1, -1
		Mag_CMAG_40Rnd,			M,		1100,	700
		------------------------------------------------------------, *, -1, -1
		Mag_AK74_45Rnd,         M,		1200,	500
		------------------------------------------------------------, *, -1, -1
		Mag_STANAG_60Rnd,       M,		1500,	500
		------------------------------------------------------------, *, -1, -1
        Mag_PP19_64Rnd,         M,		1550,	500	
		------------------------------------------------------------, *, -1, -1
		Mag_AKM_Drum75Rnd,		M,		2000,	700
		
	<Category> Magazine Full		

	    Mag_CZ527_5rnd,               	*,		2500,	800
		Mag_Scout_5Rnd,               	*,		2500,	800
		Mag_Saiga_5Rnd,               	*,		2500,	800
		------------------------------------------------------------, *, -1, -1
		Mag_Saiga_8Rnd,               	*,		2600,	800
	    Mag_IJ70_8Rnd,               	*,		2600,	800
		Mag_P1_8Rnd,                 	*,		2600,	800
		------------------------------------------------------------, *, -1, -1
		Mag_1911_7Rnd,                  *,		1650,	800	
		------------------------------------------------------------, *, -1, -1		
		Mag_Deagle_9rnd,               	*,		2800,	900
		Mag_MKII_10Rnd,               	*,		2800,	900
		Mag_SVD_10Rnd,               	*,		2800,	900	
        Mag_VSS_10Rnd,               	*,		2800,	900
		Mag_CMAG_10Rnd,               	*,		2800,	900
		Mag_CZ550_10Rnd,               	*,		2800,	900
		------------------------------------------------------------, *, -1, -1
		Mag_CZ75_15Rnd,               	*,		2900,	950
		Mag_FNX45_15Rnd,               	*,		2900,	950
        Mag_Glock_15Rnd,               	*,		2900,	950	
		Mag_Ruger1022_15Rnd,            *,		2900,	950	
		Mag_MP5_15Rnd,               	*,		2900,	950
		------------------------------------------------------------, *, -1, -1
	    Mag_CMAG_20Rnd,               	*,		3600,	1300
		Mag_Saiga_Drum20Rnd,            *,		3600,	1300
        Mag_CZ61_20Rnd,               	*,		3600,	1300
        Mag_FAL_20Rnd,               	*,		3600,	1300
		Mag_VAL_20Rnd,               	*,		3600,	1300
		------------------------------------------------------------, *, -1, -1
	    Mag_FAMAS_25Rnd,               	*,		3800,	1300
		Mag_UMP_25Rnd,               	*,		3800,	1300
		------------------------------------------------------------, *, -1, -1
        Mag_AK101_30Rnd,               	*,		4500,	1600
        Mag_AK74_30Rnd,               	*,		4500,	1600
		Mag_AKM_30Rnd,               	*,		4500,	1600
		Mag_AKM_Palm30Rnd,              *,		4500,	1600
        Mag_Aug_30Rnd,               	*,		4500,	1600
		Mag_CMAG_30Rnd,               	*,		4500,	1600
		Mag_MP5_30Rnd,               	*,		4500,	1600
		Mag_STANAG_30Rnd,               *,		4500,	1600
		Mag_Ruger1022_30Rnd,            *,		4500,	1600
		------------------------------------------------------------, *, -1, -1
        Mag_CMAG_40Rnd,               	*,		4800,	1700
		------------------------------------------------------------, *, -1, -1
		Mag_AK74_45Rnd,               	*,		4860,	1700
		------------------------------------------------------------, *, -1, -1
        Mag_PP19_64Rnd,               	*,		4890,	1700
		------------------------------------------------------------, *, -1, -1
        Mag_STANAG_60Rnd,               *,		4900,	1700
		------------------------------------------------------------, *, -1, -1
        Mag_AKM_Drum75Rnd,              *,		4955,	1700


// --------------------------------------------------
<Trader>  RHG-Bau  4//4

	<Category> Tools
	
	    BarbedWire,				*,		 500,	200
		MetalWire,				*,		 500,	200			
 		------------------------------------------------------------, *, -1, -1			
		stone,			        W,		-3,     30	
        Smallstone,		        W,	    -3,     30	
 		------------------------------------------------------------, *, -1, -1					
		Broom,					*,		110,   60
		Broom_Birch,			*,		110,   60
		FarmingHoe,				*,	   -250,   40
		Pitchfork,				*,		110,   60		
		Shovel,					*,		450,   200		
		Pickaxe,				*,		750,   300
		SledgeHammer,			*,		950,   350
		------------------------------------------------------------, *, -1, -1	
		WoodenPlank,			10,		600,	300
		MetalPlate,				1,	   -400,	400


// --------------------------------------------------
<Trader>  RHG-Bau  5//5

	<Category> RHG-Bau
	
		CodeLock,               *,      16000,  2000 
		Lockpick,				*,		-355,	150
		CombinationLock,		*,		350,	100
		CombinationLock4,		*,		350,	100	
		-----------------------------------------------, *, -1, -1			
 		Screwdriver,			*,		 250,   100
		Pliers,					*,		 270,   100
		Wrench,					*,		 150,   50
		Crowbar,				*,		 3000,  -10
		LugWrench,				*,		 160,   60
		Whetstone,				*,		 300,   150		
  		------------------------------------------------------------, *, -1, -1
		SmallGasCanister,		*,		 500,	250		
		Megaphone,				*,		 250,	120
		Battery9V,				*,		 35,	10
		CableReel,				*,		 650,	300
		BaseRadio,				*,		 850,	400
		Camonet,				*,		 7000,	1100
		SeaChest,				*,		 200,	50
		PowerGenerator,			*,		 1600,	400	
		BatteryCharger,			*,		 600,	250
		Spotlight,				*,		 1200,  -200		
		DuctTape,				*,		 370,	150
		Nail,				    5,		-450,	20		
 		------------------------------------------------------------, *, -1, -1		
		WoodAxe,				*,		 750,  250	
		FirefighterAxe,			*,		-940,  300
	   ------------------------------------------------------------, *, -1, -1
		Hammer,					*,		 250,   100
		Hatchet,				*,		 280,   100
		Hacksaw,				*,		 300,   100
		HandSaw,				*,		 300,   100
	   ------------------------------------------------------------, *, -1, -1

// --------------------------------------------------
<Trader>  FabriKrafts Spezial  6//6
 
	<Category> TFabriKrafts Spezial
	
	    CJ_Battery9V_1,         *,    500,    -5
	    CJ_Battery9V_2,         *,    500,    -5
	    CJ_Battery9V_3,         *,    500,    -5
	    CJ_Battery9V_4,         *,    500,    -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_ButaneCanister,       *,   250,    -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Sparkplug_Box_1,         *, 400,   -5
	    CJ_Sparkplug_Box_2,         *, 400,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Cigarettes_1,         *, 200,    -5
	    CJ_Cigarettes_2,         *, 200,    -5
	    CJ_Cigarettes_3,         *, 200,    -5
	    CJ_Cigarettes_4,         *, 200,    -5
	    CJ_Cigarettes_5,         *, 200,    -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_AntiPestsSpray_1,      *,    330,   -5
	    CJ_AntiPestsSpray_2,      *,    330,   -5
	    CJ_AntiPestsSpray_3,      *,    330,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_VanishSpray,           *,    370,   -5
	   -----------------------------------------------------------, *, -1, -1		
	    CJ_FieldBandage_Large,         *,    850,   -5
	    CJ_FieldBandage_Small,         *,    850,   -5
	    CJ_FirstAidKit_Leather,        *,    900,   -5
	    CJ_FirstAidKit_Car,            *,    700,   -5
	    CJ_FirstAidKit_Grizzly,        *,    800,   -5
	    CJ_Flashlight_Yellow,          *,    400,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_GardenLime_1,              *, 500, -5
	    CJ_GardenLime_2,              *, 500, -5
	    CJ_GardenLime_3,              *, 500, -5
	    CJ_GardenLime_4,              *, 500, -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Pliers_Yellow,             *,   1200,   -5
	    CJ_Pliers_Red,                *,   1200,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_WalkieTalkie,              *,   1500,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_MilBattery_Black,           *,   1300,   -5
	    CJ_MilBattery_Green,           *,   1300,   -5
	    CJ_MilBattery_Tan,             *,   1300,   -5
	   ------------------------------------------------------------, *, -1, -1		
